시설명,종류,주소,도로명,지번주소,위도,경도,법정동
서울개롱초등학교 놀이시설,학교,서울특별시 송파구 문정로 211 (오금동)서울개롱초등학교,서울특별시 송파구 문정로 211 (오금동),서울특별시 송파구 오금동 159 서울개롱초등학교,37.49718321,127.1397449,서울특별시 송파구 오금동
오금초 놀이시설,학교,서울특별시 송파구 위례성대로22길 11 (오금동)서울오금초등학교,서울특별시 송파구 위례성대로22길 11 (오금동),서울특별시 송파구 오금동 7 서울오금초등학교,37.50915198,127.1318062,서울특별시 송파구 오금동
서울신천초놀이시설,학교,서울특별시 송파구 올림픽로 215 (잠실동)서울신천초등학교,서울특별시 송파구 올림픽로 215 (잠실동),서울특별시 송파구 잠실동 27-5 주공아파트,37.51362868,127.0951892,서울특별시 송파구 잠실동
서울송전초등학교놀이터,학교,서울특별시 송파구 석촌호수로 159 (잠실동)서울송전초등학교,서울특별시 송파구 석촌호수로 159 (잠실동),서울특별시 송파구 잠실동 44-2 서울송전초등학교,37.5084469,127.0948051,서울특별시 송파구 잠실동
서울버들초등학교 놀이시설,학교,서울특별시 송파구 석촌호수로 81 (잠실동)서울버들초등학교,서울특별시 송파구 석촌호수로 81 (잠실동),서울특별시 송파구 잠실동 35-6 버들초등학교,37.51026734,127.0890968,서울특별시 송파구 잠실동
서울잠신초등학교 내 어린이놀이터,학교,서울특별시 송파구 잠실로 32 (잠실동)서울잠신초등학교,서울특별시 송파구 잠실로 32 (잠실동),서울특별시 송파구 잠실동 22-4 서울잠신초등학교,37.51397404,127.0882303,서울특별시 송파구 잠실동
아주초등학교 놀이터,학교,서울특별시 송파구 올림픽로4길 59 (잠실동)서울아주초등학교,서울특별시 송파구 올림픽로4길 59 (잠실동),서울특별시 송파구 잠실동 115 아주초등학교,37.50511957,127.0761133,서울특별시 송파구 잠실동
송례초등학교 놀이터,학교,서울특별시 송파구 위례순환로 439 (장지동)서울송례초등학교,서울특별시 송파구 위례순환로 439 (장지동),서울특별시 송파구 장지동 898 서울송례초등학교,37.47774125,127.1384962,서울특별시 송파구 장지동
한국육영학교 놀이터,학교,서울특별시 송파구 충민로6길 15 (장지동)한국육영학교,서울특별시 송파구 충민로6길 15 (장지동),서울특별시 송파구 장지동 848-1 한국육영학교,37.48176126,127.1324952,서울특별시 송파구 장지동
서울 문현초등학교 놀이터,학교,서울특별시 송파구 충민로 137 (장지동)서울문현초등학교,서울특별시 송파구 충민로 137 (장지동),서울특별시 송파구 장지동 836 문현초등학교,37.48265738,127.130281,서울특별시 송파구 장지동
